"","wijk_code","n","wijk_name"
"359","WK020206","5740","St. Marten/Sonsbeek"
"360","WK020207","7285","Klarendal"
"361","WK020208","9365","Velperweg e.o."
"362","WK020209","3465","Alteveer/Cranevelt"
"363","WK020210","3805","Geitenkamp"
"364","WK020211","4460","Monnikenhuizen"
"365","WK020212","7835","Burgemeesterswijk/Hoogkamp"
"366","WK020213","2350","Schaarsbergen"
"367","WK020214","3925","Heijenoord/Lombok"
"368","WK020215","1355","Klingelbeek e.o."
"369","WK020216","4640","Malburgen-West"
"370","WK020217","6420","Malburgen-Oost (Noord)"
"371","WK020218","9240","Malburgen-Oost (Zuid)"
"372","WK020219","8515","Vredenburg/Kronenburg"
"373","WK020220","2910","Elden"
"374","WK020221","8810","Elderveld"
"375","WK020222","12115","De Laar"
"376","WK020223","12370","Rijkerswoerd"
"377","WK020224","15705","Schuytgraaf"
"378","WK010600","7165","Centrum"
"379","WK010601","5385","Lariks"
"380","WK010602","8275","Noorderpark"
"381","WK010603","9300","Assen-Oost"
"382","WK010604","3625","Pittelo"
"383","WK010605","4915","Assen-West"
"384","WK010606","6415","Peelo"
"385","WK010607","11930","Marsdijk"
"386","WK010608","11470","Kloosterveen"
"387","WK010699","1220","Buitengebied"
"388","WK074301","205","Asten industrie noord"
"389","WK074302","550","Asten buitengebied oost"
"390","WK074303","2905","Asten noord"
"391","WK074304","2625","Asten oost"
"392","WK074305","3600","Asten zuid"
"393","WK074306","3320","Asten centrum / west"
"394","WK074307","480","Asten buitengebied west"
"395","WK074308","2575","Heusden wonen"
"396","WK074309","0","Heusden recreatie"
"397","WK074310","945","Ommel wonen"
"398","WK074311","90","Ommel recreatie"
"399","WK074401","5790","Baarle-Nassau"
"400","WK074402","1160","Ulicoten"
"401","WK074403","125","Castelré"
"402","WK030800","11955","Wijk 00 Baarn"
"403","WK030801","10200","Wijk 01 Baarn-Noord, Eemdal en Eemland"
"404","WK030802","1660","Wijk 02 P.H.W.park"
"405","WK030804","965","Wijk 04 Buitengebied"
"406","WK030805","280","Wijk 05 Lage Vuursche"
"407","WK048901","1610","Wijk 01 Centrum"
"408","WK048902","2895","Wijk 02 Noord"
"409","WK048903","1060","Wijk 03 Binnenland"
"410","WK048904","2130","Wijk 04 Oranjewijk"
"411","WK048905","3685","Wijk 05 Buitenoord"
"412","WK048906","1700","Wijk 06 Ter Leede"
"413","WK048907","2185","Wijk 07 Paddewei"
"414","WK048908","2720","Wijk 08 Molenvliet"
"415","WK048909","4885","Wijk 09 Nieuweland"
"416","WK048910","555","Wijk 10 Dorpzicht"
"417","WK048911","1450","Wijk 11 Bijdorp"
"418","WK048912","1575","Wijk 12 Smitshoek"
"419","WK048913","870","Wijk 13 Voordijk"
"420","WK048914","6035","Wijk 14 Meerwede"
"421","WK048915","1805","Wijk 15 Waterkant"
"422","WK048916","1625","Wijk 16 Havenkwartier"
"423","WK048917","775","Wijk 17 Gaatkensoog"
"424","WK048918","1445","Wijk 18 Riederhoek"
"425","WK048919","1195","Wijk 19 Vrijheidsakker"
"426","WK048920","5470","Wijk 20 Vrijenburg"
"427","WK048930","215","Wijk 30 Buitengebied Noord"
"428","WK048931","2730","Wijk 31 Buitengebied Zuid"
"429","WK048950","90","Wijk 50 Bedrijventerreinen"
"430","WK020354","36235","Wijk 54 Barneveld"
"431","WK020355","12150","Wijk 55 Voorthuizen"
"432","WK020356","5975","Wijk 56 Kootwijkerbroek"
"433","WK020357","2230","Wijk 57 Garderen"
"434","WK020358","1525","Wijk 58 Terschuur"
"435","WK020359","1705","Wijk 59 Stroe"
"436","WK020360","1585","Wijk 60 Zwartebroek"
"437","WK020361","740","Wijk 61 De Glind"
"438","WK020362","295","Wijk 62 Kootwijk"
"439","WK020363","150","Wijk 63 Achterveld"
"440","WK088800","14080","Wijk 00 Beek - Spaubeek"
"441","WK088801","2135","Wijk 01 Beek-Zuid"
"442","WK195400","7850","Wijk 00 Onderbanken"
"443","WK195401","6440","Wijk 01 Nuth"
"444","WK195402","1620","Wijk 02 Wijnandsrade"
"445","WK195403","3865","Wijk 03 Hulsberg"
"446","WK195404","3170","Wijk 04 Schimmert"
"447","WK195405","6445","Wijk 05"
"448","WK195406","6500","Wijk 06 Amstenrade - Oirsbeek"
"449","WK088900","10980","Wijk 00 Reuver"
"450","WK088901","2415","Wijk 01 Beesel"
"451","WK194500","3615","Beek"
"452","WK194501","2500","Berg en Dal"
"453","WK194502","2550","Breedeweg"
"454","WK194503","1380","De Horst"
"455","WK194504","170","Erlecom"
"456","WK194505","13230","Groesbeek"
"457","WK194506","850","Heilig Landstichting"
"458","WK194507","480","Kekerdom"
"459","WK194508","1735","Leuth"
"460","WK194509","5835","Millingen aan de Rijn"
"461","WK194510","2555","Ooij"
"462","WK194511","90","Persingen"
"463","WK194512","480","Ubbergen"
"464","WK172400","8595","Wijk 00 Bergeijk 't Hof"
"465","WK172401","505","Wijk 01 Weebosch"
"466","WK172402","2530","Wijk 02 Luyksgestel"
"467","WK172403","1820","Wijk 03 Riethoven"
"468","WK172404","1950","Wijk 04 Westerhoven"
"469","WK172405","1405","Wijk 05 Bergeijk 't Loo"
"470","WK172406","2385","Wijk 06 Buitengebied"
"471","WK089301","265","Aijen"
"472","WK089302","345","Oud-Bergen"
"473","WK089303","4685","Nieuw-Bergen"
"474","WK089304","2110","Afferden"
"475","WK089305","2120","Siebengewald"
"476","WK089306","2415","Well"
"477","WK089307","1210","Wellerlooi"
"478","WK037301","12035","Wijk 01 Bergen Binnen"
"479","WK037302","335","Wijk 02 Bergen aan Zee"
"480","WK037303","625","Wijk 03 Buitengebied Bergen"
"481","WK037304","4590","Wijk 04 Egmond aan Zee"
"482","WK037305","2700","Wijk 05 Egmond-Binnen"
"483","WK037306","3430","Wijk 06 Egmond aan den Hoef"
"484","WK037307","6220","Wijk 07 Schoorl"
"485","WK074800","14290","Wijk 00 Bergen op Zoom-Oude stad e.o."
"486","WK074801","10525","Wijk 01 Bergen op Zoom-Noord"
"487","WK074802","19500","Wijk 02 Bergen op Zoom-Oost"
"488","WK074803","10930","Wijk 03 Bergen op Zoom-West"
"489","WK074804","12540","Wijk 04 Halsteren"
"490","WK074805","1910","Wijk 05 Lepelstraat"
"491","WK185900","10585","Wijk 00 Borculo"
"492","WK185901","12435","Wijk 01 Eibergen"
"493","WK185902","2840","Wijk 02 Beltrum"
"494","WK185903","10315","Wijk 03 Neede"
"495","WK185904","7760","Wijk 04 Ruurlo"
"496","WK172101","13015","Kern Heesch"
"497","WK172102","6605","Kern Heeswijk-Dinther"
"498","WK172103","5670","Kern Nistelrode"
"499","WK172104","1235","Buitengebied Heesch"
"500","WK172105","3430","Buitengebied Heeswijk-Dinther"
"501","WK172106","2575","Buitengebied Nistelrode"
"502","WK075300","31225","Wijk 00 Best"
"503","WK020901","17420","Beuningen"
"504","WK020902","4515","Ewijk"
"505","WK020903","2560","Weurt"
"506","WK020904","2230","Winssen"
"507","WK037500","6395","Centrum"
"508","WK037501","4015","Vondelkwartier"
"509","WK037502","2365","Oranjebuurt"
"510","WK037503","5690","Kuenenkwartier"
"511","WK037504","1430","Warande"
"512","WK037505","3465","Noordwestelijk tuinbouwgebied"
"513","WK037506","4795","Oosterwijk en Zwaansmeer"
"514","WK037507","6435","Meerestein"
"515","WK037508","2155","Wijk aan Zee"
"516","WK037509","155","de Pijp en Wijkerbroek"
"517","WK037510","5960","Broekpolder"
"518","WK031001","1185","Westbroek"
"519","WK031002","1570","Hollandsche Rading"
"520","WK031003","4905","Maartensdijk"
"521","WK031004","1960","Groenekan"
"522","WK031005","4835","De Leijen"
"523","WK031006","5305","Bilthoven Noord"
"524","WK031007","4630","Bilthoven Zuid Oost"
"525","WK031008","8445","Bilthoven Zuid West"
"526","WK031009","6060","De Bilt West"
"527","WK031010","4820","De Bilt Oost"
"528","WK172800","10685","Wijk 00 Bladel"
"529","WK172801","1075","Wijk 01 Netersel"
"530","WK172802","5755","Wijk 02 Hapert"
"531","WK172803","2320","Wijk 03 Hoogeloon"
"532","WK172804","1140","Wijk 04 Casteren"
"533","WK037601","12725","Blaricum"
"534","WK037700","6800","Wijk 00 Bloemendaal"
"535","WK037701","4530","Wijk 01 Overveen"
"536","WK037702","4845","Wijk 02 Aerdenhout"
"537","WK037703","2205","Wijk 03 Vogelenzang"
"538","WK037704","5410","Wijk 04 Bennebroek"
"539","WK190101","5580","Bodegraven-Noord"
"540","WK190102","14165","Bodegraven-Zuid"
"541","WK190103","1940","Nieuwerbrug aan den Rijn"
"542","WK190104","2180","Reeuwijk-Dorp"
"543","WK190105","8950","Reeuwijk-Brug"
"544","WK190106","2095","Driebruggen"
"545","WK190107","1665","Waarder"
"546","WK075500","9495","Wijk 00 Boekel"
"547","WK075501","1795","Wijk 01 Venhorst"
"548","WK168100","1215","Valthe"
"549","WK168101","3425","Valthermond"
"550","WK168102","125","Westdorp"
"551","WK168103","50","Zandberg"
"552","WK168179","365","1e Exloërmond"
"553","WK168180","2260","2e Exloërmond"
"554","WK168181","100","2e Valthermond"
"555","WK168182","5010","Borger"
"556","WK168183","115","Bronneger"
"557","WK168184","85","Bronnegerveen"
"558","WK168185","795","Buinen"
"559","WK168186","445","Buinerveen"
"560","WK168187","535","Drouwen"
"561","WK168188","595","Drouwenermond"
"562","WK168189","290","Drouwenerveen"
"563","WK168190","340","Ees"
"564","WK168191","175","Eesergroen"
"565","WK168192","160","Eeserveen"
"566","WK168193","35","Ellertshaar"
"567","WK168194","90","Exloërveen"
"568","WK168195","1735","Exloo"
"569","WK168196","740","Klijndijk"
"570","WK168197","4970","Nieuw-Buinen"
"571","WK168198","1960","Odoorn"
"572","WK168199","400","Odoornerveen"
"573","WK014700","22200","Wijk 00 Borne"
"574","WK014701","2435","Wijk 01 Buitengebied Borne"
"575","WK065401","595","Baarland"
"576","WK065402","1485","Borssele"
"577","WK065403","565","Driewegen"
"578","WK065404","370","Ellewoutsdijk"
"579","WK065405","5520","Heinkenszand"
"580","WK065406","720","Hoedekenskerke"
"581","WK065407","965","Kwadendamme"
"582","WK065408","1810","Lewedorp"
"583","WK065409","1325","Nieuwdorp"
"584","WK065410","630","Nisse"
"585","WK065411","665","Oudelande"
"586","WK065412","1220","Ovezande"
"587","WK065413","4690","'s-Gravenpolder"
"588","WK065414","510","'s-Heer Abtskerke"
"589","WK065415","2045","'s-Heerenhoek"
"590","WK075700","25845","Wijk 00 Boxtel"
"591","WK075701","1140","Wijk 01 Lennisheuvel"
"592","WK075702","4785","Wijk 02 Liempde"
"593","WK075730","1850","Esch"
"594","WK075731","355","Verspr huizen Esch"
"595","WK075800","16440","Breda centrum"
"596","WK075801","26120","Breda noord"
"597","WK075802","24545","Breda oost"
"598","WK075803","19395","Breda zuid-oost"
"599","WK075804","8345","Breda zuid"
"600","WK075805","33175","Breda west"
"601","WK075806","25200","Breda noord-west"
"602","WK075807","8430","Bavel"
"603","WK075808","4950","Ulvenhout"
"604","WK075809","12335","Prinsenbeek"
"605","WK075810","9140","Teteringen"
"606","WK187600","8065","Wijk 00 Hengelo"
"607","WK187601","10990","Wijk 01 Zelhem"
"608","WK187602","8160","Wijk 02 Vorden"
"609","WK187603","4620","Wijk 03 Steenderen"
"610","WK187604","4285","Wijk 04 Hummelo en Keppel"
"611","WK021301","655","Wijk 01 Empe"
"612","WK021302","325","Wijk 02 Tonden"
"613","WK021303","8545","Wijk 03 Brummen"
"614","WK021304","720","Wijk 04 Leuvenheim"
"615","WK021305","825","Wijk 05 Hall"
"616","WK021306","10215","Wijk 06 Eerbeek"
"617","WK089901","7140","Wijk 01 Brunssum-West"
"618","WK089902","6370","Wijk 02 Brunssum-Noord"
"619","WK089903","4335","Wijk 03 Brunssum-Oost"
"620","WK089904","2755","Wijk 04 Brunssum-Zuid"
"621","WK089905","7165","Wijk 05 Brunssum-Centrum"
"622","WK031200","7350","Wijk 00 Bunnik"
